"idArticle";"idProduct";"English Name";"Local Name";"Exp.";"Exp. Name";"Price";"Language";"Comments";"Amount";"onSale";"idCurrency";"Currency Code"
"1191421989";"267138";"60 Small Player's Choice Sleeves (White)";"60 Small Player's Choice Sleeves (White)";"YGPR";"Yugioh Products";"12.00";"2";"SEALED";"8";"1";"1";"EUR"
"1233928703";"263550";"60 Small Ultra Pro Deck Protector Sleeves (Orange)";"60 Small Ultra Pro Deck Protector Sleeves (Orange)";"YGPR";"Yugioh Products";"3.80";"2";"";"1";"1";"1";"EUR"
"1233929663";"267422";"60 Small Ultra Pro Pro-Matte Sleeves (Green)";"60 Small Ultra Pro Pro-Matte Sleeves (Green)";"YGPR";"Yugioh Products";"4.00";"2";"";"12";"1";"1";"EUR"
"1233904328";"294112";"60 Ultimate Guard Supreme UX Matte Sleeves (Brown)";"60 Ultimate Guard Supreme UX Matte Sleeves (Brown)";"YGPR";"Yugioh Products";"3.90";"2";"";"10";"1";"1";"EUR"
"1233903949";"320241";"60 Ultimate Guard Supreme UX Matte Sleeves (Burgundy)";"60 Ultimate Guard Supreme UX Matte Sleeves (Burgundy)";"YGPR";"Yugioh Products";"3.90";"2";"";"8";"1";"1";"EUR"
"1233904791";"294080";"60 Ultimate Guard Supreme UX Matte Sleeves (Dark Gray)";"60 Ultimate Guard Supreme UX Matte Sleeves (Dark Gray)";"YGPR";"Yugioh Products";"3.90";"2";"";"7";"1";"1";"EUR"
"1233904452";"294108";"60 Ultimate Guard Supreme UX Matte Sleeves (Orange)";"60 Ultimate Guard Supreme UX Matte Sleeves (Orange)";"YGPR";"Yugioh Products";"3.90";"2";"";"9";"1";"1";"EUR"
"1257640778";"294108";"60 Ultimate Guard Supreme UX Matte Sleeves (Orange)";"60 Ultimate Guard Supreme UX Matte Sleeves (Orange)";"YGPR";"Yugioh Products";"4.00";"2";"";"1";"1";"1";"EUR"
"1233904052";"294104";"60 Ultimate Guard Supreme UX Matte Sleeves (Pink)";"60 Ultimate Guard Supreme UX Matte Sleeves (Pink)";"YGPR";"Yugioh Products";"3.90";"2";"";"5";"1";"1";"EUR"
"1233904849";"294068";"60 Ultimate Guard Supreme UX Matte Sleeves (Red)";"60 Ultimate Guard Supreme UX Matte Sleeves (Red)";"YGPR";"Yugioh Products";"3.90";"2";"";"9";"1";"1";"EUR"
"1233904143";"294076";"60 Ultimate Guard Supreme UX Matte Sleeves (Sand)";"60 Ultimate Guard Supreme UX Matte Sleeves (Sand)";"YGPR";"Yugioh Products";"3.90";"2";"";"3";"1";"1";"EUR"
"1233904616";"294092";"60 Ultimate Guard Supreme UX Matte Sleeves (Turquoise)";"60 Ultimate Guard Supreme UX Matte Sleeves (Turquoise)";"YGPR";"Yugioh Products";"3.90";"2";"";"8";"1";"1";"EUR"
"1257640776";"294072";"60 Ultimate Guard Supreme UX Matte Sleeves (Yellow)";"60 Ultimate Guard Supreme UX Matte Sleeves (Yellow)";"YGPR";"Yugioh Products";"6.00";"2";"";"1";"1";"1";"EUR"
"1233895222";"294055";"60 Ultimate Guard Supreme UX Sleeves (Aquamarine)";"60 Ultimate Guard Supreme UX Sleeves (Aquamarine)";"YGPR";"Yugioh Products";"3.90";"2";"";"4";"1";"1";"EUR"
"1233898187";"294099";"60 Ultimate Guard Supreme UX Sleeves (Blue)";"60 Ultimate Guard Supreme UX Sleeves (Blue)";"YGPR";"Yugioh Products";"3.90";"2";"";"7";"1";"1";"EUR"
"1233898489";"294111";"60 Ultimate Guard Supreme UX Sleeves (Brown)";"60 Ultimate Guard Supreme UX Sleeves (Brown)";"YGPR";"Yugioh Products";"3.90";"2";"";"14";"1";"1";"EUR"
"1233897059";"320244";"60 Ultimate Guard Supreme UX Sleeves (Burgundy)";"60 Ultimate Guard Supreme UX Sleeves (Burgundy)";"YGPR";"Yugioh Products";"3.90";"2";"";"13";"1";"1";"EUR"
