abbreviation,rarity,count,condition,is_first_ed,language_id,product_id,id,comments,status,from,game_id,comments_special_cm,comments_special_ad,prix_a_envoyer,guid,price,comment_mkm
TLM,Rare,1,EX,False,2,101908,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-TLM-2EX-007-2-f-RG[01],(08)YRG[01]-TLM-2EX-007-2-f-RG[01]-101908,NaN,(08)YRG[01]-TLM-2EX-2-F-101908,NaN,(08)YRG[01]-TLM-2EX-007-2-f-RG[01]
TLM,Rare,1,LP,True,2,101908,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-TLM-4LP-007-2-t-RG[01],(08)YRG[01]-TLM-4LP-007-2-t-RG[01]-101908,NaN,(08)YRG[01]-TLM-4LP-2-T-101908,NaN,(08)YRG[01]-TLM-4LP-007-2-t-RG[01]
MFC,Rare,1,EX,False,1,101938,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-MFC-2EX-034-1-f-RG[01],(08)YRG[01]-MFC-2EX-034-1-f-RG[01]-101938,NaN,(08)YRG[01]-MFC-2EX-1-F-101938,NaN,(08)YRG[01]-MFC-2EX-034-1-f-RG[01]
MFC,Common,1,GD,False,1,101945,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-MFC-3GD-103-1-f-RG[01],(08)YRG[01]-MFC-3GD-103-1-f-RG[01]-101945,NaN,(08)YRG[01]-MFC-3GD-1-F-101945,NaN,(08)YRG[01]-MFC-3GD-103-1-f-RG[01]
MFC,Rare,1,GD,False,1,101949,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-MFC-3GD-066-1-f-RG[01],(08)YRG[01]-MFC-3GD-066-1-f-RG[01]-101949,NaN,(08)YRG[01]-MFC-3GD-1-F-101949,NaN,(08)YRG[01]-MFC-3GD-066-1-f-RG[01]
DCR,Rare,1,EX,False,2,101977,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-057-2-f-RG[01],(08)YRG[01]-DCR-2EX-057-2-f-RG[01]-101977,NaN,(08)YRG[01]-DCR-2EX-2-F-101977,NaN,(08)YRG[01]-DCR-2EX-057-2-f-RG[01]
DR1,Common,6,EX,False,2,101980,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-2EX-261-2-f-RG[01],(08)YRG[01]-DR1-2EX-261-2-f-RG[01]-101980,NaN,(08)YRG[01]-DR1-2EX-2-F-101980,NaN,(08)YRG[01]-DR1-2EX-261-2-f-RG[01]
DR1,Common,6,GD,False,2,101980,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-3GD-261-2-f-RG[01],(08)YRG[01]-DR1-3GD-261-2-f-RG[01]-101980,NaN,(08)YRG[01]-DR1-3GD-2-F-101980,NaN,(08)YRG[01]-DR1-3GD-261-2-f-RG[01]
DCR,Common,1,EX,False,2,101981,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-092-2-f-RG[01],(08)YRG[01]-DCR-2EX-092-2-f-RG[01]-101981,NaN,(08)YRG[01]-DCR-2EX-2-F-101981,NaN,(08)YRG[01]-DCR-2EX-092-2-f-RG[01]
DCR,Common,1,NM,False,2,101981,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-1NM-092-2-f-RG[01],(08)YRG[01]-DCR-1NM-092-2-f-RG[01]-101981,NaN,(08)YRG[01]-DCR-1NM-2-F-101981,NaN,(08)YRG[01]-DCR-1NM-092-2-f-RG[01]
DCR,Common,6,EX,False,2,101982,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-099-2-f-RG[01],(08)YRG[01]-DCR-2EX-099-2-f-RG[01]-101982,NaN,(08)YRG[01]-DCR-2EX-2-F-101982,NaN,(08)YRG[01]-DCR-2EX-099-2-f-RG[01]
DCR,Common,2,NM,False,1,101982,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-1NM-099-1-f-RG[01],(08)YRG[01]-DCR-1NM-099-1-f-RG[01]-101982,NaN,(08)YRG[01]-DCR-1NM-1-F-101982,NaN,(08)YRG[01]-DCR-1NM-099-1-f-RG[01]
DCR,Common,1,NM,False,2,101982,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-1NM-099-2-f-RG[01],(08)YRG[01]-DCR-1NM-099-2-f-RG[01]-101982,NaN,(08)YRG[01]-DCR-1NM-2-F-101982,NaN,(08)YRG[01]-DCR-1NM-099-2-f-RG[01]
DP2,Super Rare,1,GD,True,2,101996,0.0,,to_create,MEV_BDD,3,(09)YRF[01]-DP2-012-2-t-RF[01],(09)YRF[01]-DP2-3GD-012-2-t-RF[01]-101996,NaN,(09)YRF[01]-DP2-3GD-2-T-101996,NaN,(09)YRF[01]-DP2-012-2-t-RF[01]
