guid,price
(08)YRG[01]-PTDN-1NM-2-F-101835.0,1.1
(5)YRX[01]-PTDN-1NM-2-F-101835.0,1.3
(5)YRX[01]-PTDN-1NM-2-T-101835.0,1.3
(08)YRG[01]-PTDN-1NM-2-T-101835.0,1.1
(08)YRG[01]-DCR-2EX-2-F-101836.0,NaN
(08)YRG[01]-DCR-2EX-2-F-101836.0,NaN
(08)YRG[01]-DCR-3GD-1-F-101836.0,NaN
(5)YRX[01]-DCR-1NM-1-F-101836.0,1.8
(08)YRG[01]-DR1-2EX-2-F-101837.0,1.87
(5)YRX[01]-DR1-1NM-2-F-101837.0,1.83
(08)YRG[01]-DR1-6PO-2-F-101837.0,0.22
(08)YRG[01]-DR1-2EX-2-F-101838.0,1.87
(5)YRX[01]-DR1-2EX-2-F-101838.0,1.74
(08)YRG[01]-DR1-3GD-2-F-101838.0,1.21
(08)YRG[01]-DR1-1NM-2-F-101838.0,2.2
(5)YRX[01]-MFC-1NM-1-F-101839.0,3.36
(08)YRG[01]-STON-1NM-2-T-101841.0,2.22
(5)YRX[01]-STON-2EX-1-T-101842.0,26.48
(5)YRX[01]-STON-4LP-2-T-101842.0,10.11
(5)YRX[01]-STON-1NM-1-F-101842.0,12.86
(5)YRX[01]-STON-1NM-1-T-101842.0,32.61
(XX)UNK[XX]-LOD-1NM-1-F-101843.0,2.31
(5)YRX[01]-LOD-1NM-1-F-101843.0,1.83
(08)YRG[01]-DB2-2EX-2-F-101844.0,1.87
(5)YRX[01]-DB2-2EX-2-F-101844.0,2
(08)YRG[01]-DB2-3GD-2-F-101844.0,1.21
(08)YRG[01]-DB2-4LP-2-F-101844.0,0.88
(08)YRG[01]-DB2-1NM-2-F-101844.0,2.2
(5)YRX[01]-DCR-2EX-1-F-101845.0,1.34
(08)YRG[01]-DCR-2EX-2-F-101845.0,NaN
(08)YRG[01]-DCR-3GD-1-F-101845.0,NaN
(08)YRG[01]-DCR-1NM-1-F-101845.0,NaN
(08)YRG[01]-DCR-1NM-2-F-101845.0,NaN
(08)YRG[01]-DR1-2EX-2-F-101846.0,2.49
(08)YRG[01]-DR1-3GD-2-F-101846.0,1.89
(5)YRX[01]-DR1-3GD-2-F-101846.0,2.01
(08)YRG[01]-DR1-1NM-2-F-101846.0,2.62
(09)YRF[01]-DB2-3GD-2-F-101848.0,20.89
(00)Y/C00/GC/WCQ-DB2-3GD-2-F-101848.0,12.5
(5)YRX[01]-LOD-3GD-1-F-101849.0,22.89
(08)YRG[01]-MFC-2EX-1-F-101851.0,1.32
(5)YRX[01]-MFC-2EX-1-F-101851.0,1.03
(08)YRG[01]-MFC-3GD-1-F-101851.0,NaN
(5)YRX[01]-MFC-1NM-1-F-101851.0,1.2
(5)YRX[01]-PTDN-2EX-2-F-101852.0,0.94
(08)YRG[01]-PTDN-2EX-2-F-101852.0,0.94
(08)YRG[01]-PTDN-2EX-2-T-101852.0,0.94
(08)YRG[01]-PTDN-3GD-2-F-101852.0,0.61
(08)YRG[01]-PTDN-3GD-2-T-101852.0,0.61
(08)YRG[01]-PTDN-1NM-2-F-101852.0,1.1
(08)YRG[01]-PTDN-1NM-2-T-101852.0,1.1
(5)YRX[01]-PTDN-1NM-2-T-101852.0,1.3
(08)YRG[01]-GLAS-2EX-2-F-101853.0,0.94
(08)YRG[01]-GLAS-2EX-2-T-101853.0,0.94
(5)YRX[01]-GLAS-2EX-2-T-101853.0,1.19
(5)YRX[01]-GLAS-3GD-2-F-101853.0,0.88
(08)YRG[01]-GLAS-3GD-2-F-101853.0,0.61
(08)YRG[01]-GLAS-3GD-2-T-101853.0,0.61
(5)YRX[01]-GLAS-1NM-2-F-101853.0,1.3
(5)YRX[01]-GLAS-1NM-2-T-101853.0,1.3
(5)YRX[01]-CDIP-2EX-2-F-101854.0,0.94
(5)YRX[01]-CDIP-2EX-2-T-101854.0,0.94
(08)YRG[01]-CDIP-2EX-2-T-101854.0,0.94
(08)YRG[01]-CDIP-3GD-2-F-101854.0,0.61
(08)YRG[01]-CDIP-3GD-2-T-101854.0,0.61
(08)YRG[01]-CDIP-4LP-2-F-101854.0,0.44
(08)YRG[01]-CDIP-1NM-2-F-101854.0,1.1
(08)YRG[01]-CDIP-1NM-2-T-101854.0,1.1
(5)YRX[01]-CDIP-1NM-2-T-101854.0,0.99
(5)YRX[01]-CDIP-2EX-2-F-101855.0,0.94
(08)YRG[01]-CDIP-2EX-2-F-101855.0,0.94
(08)YRG[01]-CDIP-2EX-2-T-101855.0,0.94
(08)YRG[01]-CDIP-3GD-2-T-101855.0,0.61
(08)YRG[01]-CDIP-4LP-2-F-101855.0,0.44
(08)YRG[01]-CDIP-1NM-2-F-101855.0,1.1
(5)YRX[01]-STON-2EX-2-T-101856.0,1.19
(5)YRX[01]-STON-1NM-2-F-101856.0,0.99
(08)YRG[01]-STON-1NM-1-T-101856.0,0.88
(5)YRX[01]-STON-1NM-2-T-101856.0,1.3
(08)YRG[01]-GLAS-2EX-2-T-101858.0,5.07
(5)YRX[01]-PTDN-2EX-2-F-101859.0,0.94
(08)YRG[01]-PTDN-2EX-2-F-101859.0,0.94
(5)YRX[01]-PTDN-2EX-1-T-101859.0,0.82
(5)YRX[01]-PTDN-2EX-2-T-101859.0,0.94
(08)YRG[01]-PTDN-2EX-2-T-101859.0,0.94
(08)YRG[01]-PTDN-3GD-2-T-101859.0,0.61
(08)YRG[01]-PTDN-1NM-2-F-101859.0,1.1
(5)YRX[01]-PTDN-1NM-2-T-101859.0,1.3
(08)YRG[01]-PTDN-1NM-2-T-101859.0,1.1
(09)YRF[01]-PTDN-2EX-1-F-101860.0,NaN
(08)YRG[01]-CDIP-2EX-2-F-101861.0,0.94
(5)YRX[01]-CDIP-2EX-2-F-101861.0,0.94
(5)YRX[01]-CDIP-2EX-2-T-101861.0,0.94
(XX)UNK[XX]-CDIP-2EX-2-T-101861.0,0.94
(08)YRG[01]-CDIP-2EX-2-T-101861.0,0.94
(08)YRG[01]-CDIP-3GD-2-T-101861.0,0.61
