id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
19284,,,1.19,(5)YRX[01] WSUP (5046) SR [01],5,NM,,,,,,true,,,,,,2,,282169,,,,
19285,,,1.19,(5)YRX[01] WSUP (5047) SR [01],6,NM,,,,,,true,,,,,,2,,282170,,,,
19286,,,1.19,(5)YRX[01] WSUP (5048) SR [01],9,NM,,,,,,true,,,,,,2,,282171,,,,
19287,,,1.19,(5)YRX[01] WSUP (5049) SR [01],8,NM,,,,,,true,,,,,,2,,282172,,,,
19288,,,2.4,(5)YRX[01] WSUP (3050) ScR [01],9,NM,,,,,,true,,,,,,2,,282173,,,,
19289,,,92.57,CGC UPDATE SVET,1,NM,,,,,,true,,,,,,2,,282174,,,,
19290,,,106.83,(5)YRX[01] WSUP (3052) ScR [01],1,NM,,,,,,true,,,,,,2,,282175,,,,
19291,,,1.19,(5)YRX[01] WSUP (5005) SR [01],9,NM,,,,,,true,,,,,,2,,282179,,,,
19292,,,0.87,(5)YRX[01] WSUP (5008) SR [01],9,NM,,,,,,true,,,,,,2,,282180,,,,
19293,,,1.19,(5)YRX[01] WSUP (5029) SR [01],9,NM,,,,,,true,,,,,,2,,282181,,,,
19294,,,0.87,(5)YRX[01] WSUP (5038) SR [01],9,NM,,,,,,true,,,,,,2,,282182,,,,
19295,,,0.87,(5)YRX[01] WSUP (5039) SR [01],9,NM,,,,,,true,,,,,,2,,282183,,,,
19296,,,25,JS-SVET,1,NM,,,,,,false,,,,,,1,,282216,,,,
19297,,,3.75,JS-SVET,1,NM,,,,,,false,,,,,,1,,282217,,,,
19298,,,2.81,(5)YRX[01] SDD (3E002) ScR [01],2,EX,,,,,,false,,,,,,1,,282217,,,,
19299,,,5,R21/F,1,EX,,,,,,false,,,,,,1,,282217,,,,
19300,,,1.62,(5)YRX[01] SDD (3E002) ScR [01],2,GD,,,,,,false,,,,,,1,,282217,,,,
19301,,,3.75,R21/F,3,NM,,,,,,false,,,,,,1,,282218,,,,
19302,,,5.25,(5)YRX[01] SDD (3E003) ScR [01],1,NM,,,,,,false,,,,,,1,,282218,,,,
19303,,,3.75,(2)YCF[02] (ScR) SDD (3E003) [02],1,EX,,,,,,false,,,,,,1,,282218,,,,
19304,,,1.28,(5)YRX[01] SDD (3E003) ScR [01],4,GD,,,,,,false,,,,,,1,,282218,,,,
19305,,,2.1,(5)YRX[01] CROS (4SP1) UR [01],3,NM,,,,,,false,,,,,,2,,282504,,,,
