id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
269,60 Small Dragon Shield Sleeves - Matte Copper,,5.8,,10,,,,,,,false,,,,,,2,,357090,,,,
270,60 Small Dragon Shield Sleeves - Matte Crimson,,5.8,,7,,,,,,,false,,,,,,2,,357093,,,,
271,60 Small Dragon Shield Sleeves - Matte Ivory,,5.8,,10,,,,,,,false,,,,,,2,,368781,,,,
272,60 Small Dragon Shield Sleeves - Matte Magenta,,5.8,,8,,,,,,,false,,,,,,2,,357087,,,,
273,60 Small Dragon Shield Sleeves - Matte Orange,,5.8,,10,,,,,,,false,,,,,,2,,314474,,,,
274,60 Small Dragon Shield Sleeves - Matte Purple,,5.8,,20,,,,,,,false,,,,,,2,,314475,,,,
275,60 Small Dragon Shield Sleeves - Matte Sky Blue,,5.8,,20,,,,,,,false,,,,,,2,,357092,,,,
276,60 Small Dragon Shield Sleeves - Matte White,,5.8,,16,,,,,,,false,,,,,,2,,297436,,,,
277,60 Small Player's Choice Sleeves (Red),,11,SEALED,10,,,,,,,false,,,,,,2,,267140,,,,
278,60 Small Player's Choice Sleeves (White),,12,SEALED,8,,,,,,,false,,,,,,2,,267138,,,,
279,60 Small Ultra Pro Deck Protector Sleeves (Orange),,3.8,,1,,,,,,,false,,,,,,2,,263550,,,,
280,60 Small Ultra Pro Pro-Matte Sleeves (Green),,4,,12,,,,,,,false,,,,,,2,,267422,,,,
281,60 Ultimate Guard Supreme UX Matte Sleeves (Brown),,3.9,,10,,,,,,,false,,,,,,2,,294112,,,,
282,60 Ultimate Guard Supreme UX Matte Sleeves (Burgundy),,3.9,,8,,,,,,,false,,,,,,2,,320241,,,,
283,60 Ultimate Guard Supreme UX Matte Sleeves (Dark Gray),,3.9,,7,,,,,,,false,,,,,,2,,294080,,,,
284,60 Ultimate Guard Supreme UX Matte Sleeves (Orange),,3.9,,9,,,,,,,false,,,,,,2,,294108,,,,
285,60 Ultimate Guard Supreme UX Matte Sleeves (Orange),,4,,1,,,,,,,false,,,,,,2,,294108,,,,
286,60 Ultimate Guard Supreme UX Matte Sleeves (Pink),,3.9,,5,,,,,,,false,,,,,,2,,294104,,,,
287,60 Ultimate Guard Supreme UX Matte Sleeves (Red),,3.9,,9,,,,,,,false,,,,,,2,,294068,,,,
288,60 Ultimate Guard Supreme UX Matte Sleeves (Sand),,3.9,,3,,,,,,,false,,,,,,2,,294076,,,,
289,60 Ultimate Guard Supreme UX Matte Sleeves (Turquoise),,3.9,,8,,,,,,,false,,,,,,2,,294092,,,,
290,60 Ultimate Guard Supreme UX Matte Sleeves (Yellow),,6,,1,,,,,,,false,,,,,,2,,294072,,,,
291,60 Ultimate Guard Supreme UX Sleeves (Aquamarine),,3.9,,4,,,,,,,false,,,,,,2,,294055,,,,
292,60 Ultimate Guard Supreme UX Sleeves (Blue),,3.9,,7,,,,,,,false,,,,,,2,,294099,,,,
293,60 Ultimate Guard Supreme UX Sleeves (Brown),,3.9,,14,,,,,,,false,,,,,,2,,294111,,,,
294,60 Ultimate Guard Supreme UX Sleeves (Burgundy),,3.9,,13,,,,,,,false,,,,,,2,,320244,,,,
295,60 Ultimate Guard Supreme UX Sleeves (Dark Gray),,3.9,,6,,,,,,,false,,,,,,2,,294079,,,,
296,60 Ultimate Guard Supreme UX Sleeves (Light Green),,3.9,,13,,,,,,,false,,,,,,2,,294047,,,,
297,60 Ultimate Guard Supreme UX Sleeves (Orange),,3.9,,14,,,,,,,false,,,,,,2,,294107,,,,
298,60 Ultimate Guard Supreme UX Sleeves (Pink),,3.9,,9,,,,,,,false,,,,,,2,,294103,,,,
299,60 Ultimate Guard Supreme UX Sleeves (Red),,3.9,,4,,,,,,,false,,,,,,2,,294067,,,,
300,60 Ultimate Guard Supreme UX Sleeves (Sand),,3.9,,2,,,,,,,false,,,,,,2,,294075,,,,
301,60 Ultimate Guard Supreme UX Sleeves (Turquoise),,3.9,,4,,,,,,,false,,,,,,2,,294091,,,,
302,60 Ultimate Guard Supreme UX Sleeves (Yellow),,3.9,,10,,,,,,,false,,,,,,2,,294071,,,,
303,Dark Magician Girl the Dragon Knight 9-Pocket Duelist Portfolio,,19,,2,,,,,,,false,,,,,,2,,548701,,,,
304,I:P Masquerena 9-Pocket Duelist Portfolio,,11.9,,7,,,,,,,false,,,,,,2,,579350,,,,
305,I:P Masquerena Card Case,,4.9,,10,,,,,,,false,,,,,,2,,579349,,,,
306,I:P Masquerena Playmat,,16.9,,2,,,,,,,false,,,,,,2,,579348,,,,
307,Maxi Collection (Up to 1000 cards),,2.5,50 Communes,93,,,,,,,false,,,,,,2,,261209,,,,
308,Maxi Collection (Up to 1000 cards),,4,100 Communes,100,,,,,,,false,,,,,,2,,261209,,,,
309,Mini Collection (Up to 100 cards),,10,50 Ultra/Secret/Super,30,,,,,,,false,,,,,,2,,261207,,,,
310,Mini Collection (Up to 100 cards),,2.5,50 COMMUNES FR,91,,,,,,,false,,,,,,2,,261207,,,,
311,Mini Collection (Up to 100 cards),,4,100 COMMUNES FR,60,,,,,,,false,,,,,,2,,261207,,,,
312,"Slifer, Obelisk, & Ra 9-Pocket Duelist Portfolio",,12.5,,4,,,,,,,false,,,,,,2,,548721,,,,
313,Starter Deck: Codebreaker,,14.4,,4,,,,,,,false,,,,,,2,,327193,,,,
